1,2,3,4,5,6,7
BEBEK'TE BOĞAZ MANZARALI SATILIK OFİS BİNALARI,4,1,Doğalgaz (Kombi),1.05,210.000.000 TL,
KAYIŞDAĞI YEDİTEPE ÜNİVERSİTESİ YANI ÇOK UYGUN FİYATLI LÜKS BİNA,5,3,Doğalgaz (Kombi),740.0,39.000.000 TL,
AVCILAR FİRÜZKÖY'DE SATILIK KOMPLE BİNA,3,1,Doğalgaz (Kombi),150.0,5.150.000 TL,
EYÜP'TE SATILIK KOMPLE BİNA,5,1,Doğalgaz (Kombi),500.0,15.600.000 TL,
Asia dan Kavakpınarda 5 Daire Satılık Bina,5,1,Doğalgaz (Kombi),171.0,6.850.000 TL,
,,,,,,
AKKAYA EMLAKTAN MUHTEŞEM DENİZ MANZARALI HAVUZLU SATILIK VİLLA,3,3,Doğalgaz (Kombi),314.0,11.900.000 TL,
KARAKÖY TERSHANE CADDESİNDE SATILIK KOMPLE BİNA,9 +,1,Doğalgaz (Kombi),1.45,195.000.000 TL,
SULTANBEYLİ TURGUT REİS MAH SATILIK KOMPLE BİNA,2,1,Doğalgaz (Kombi),230.0,4.499.000 TL,
BALATTA SATILIK 4 KATLI TARİHİ BİNA,4,1,Yok,224.0,5.600.000 TL,
BALATTA SATILIK SAHİLE YAKIN 3 KATLI KÖŞE BAŞI BİNA,3,1,Doğalgaz (Kombi),170.0,5.500.000 TL,
SERDAR-I EKREM CADDESİ HOCA ALİ SOKAK DA FIRSAT SATILIK BİNA,6,1,Yok,550.0,37.500.000 TL,
CORESCO'DAN KÜÇÜK ÇAMLICA'DA TEK DAİRE FİYATINA SATILIK APARTMAN,5,1,Doğalgaz (Kombi),550.0,20.250.000 TL,
ŞİMŞEK EMLAK'TAN ÇOCUKÇULAR VE KUMAŞÇILARA YAKIN FIRSA BİNA,5,1,Doğalgaz (Kombi),250.0,15.000.000 TL,
SARIYER MERKEZ SATILIK BİNA,2,2,Doğalgaz (Kombi),1.1,51.000.000 TL,
BAYRAMPAŞA SAĞMALCILAR'DA SATILIK BİNA (FORUM İSTANBUL'A 5DK),2,1,Doğalgaz Sobası,350.0,8.650.000 TL,
AKARCA EMLAK'TAN NAMIK KEMAL MAHALLE'SİNDE SATILIK BİNA....,4,2,Doğalgaz (Kombi),150.0,6.400.000 TL,
Bebek'te Saklı Bahçe 5 Katlı Boğaz Manzaralı Bina,5,1,Doğalgaz (Kombi),800.0,48.500.000 TL,
TİCARİ + KONUT Cadde üzeri köşe başı sıfır fırsat bina *****,7,2,Doğalgaz (Kombi),1.6,92.500.000 TL,
BAĞCILAR MEYDANA YAKIN FATİH CADDESİNDE SATILIK BİNA,6,2,Doğalgaz (Kombi),1.15,57.000.000 TL,
MALTEPE GÜLENSU'DA 197 M2 ARSA İÇİNDE 3 KATLI+OTOPARKLI BAHÇELİ,3,1,Doğalgaz (Kombi),197.0,4.700.000 TL,
HAN EMLAK'TAN ÜMRANİYE HUZUR METROYA 5DK 240m2 ARSA KOMPLE BİNAA,5,1,Doğalgaz (Kombi),450.0,13.750.000 TL,
KUMKAPI TÜRKELİ CD 1 SOKAK MEAFEDE 161 M2 ARSA İÇİNDE 3 KAT BİNA,3,3,Doğalgaz (Kombi),220.0,17.000.000 TL,
Karaköy Kemankeş Caddesi Restorasyonu Tamamlanmış Tarihi Bina,6,3,Doğalgaz (Merkezi),2.028,535.000.000 TL,
SMARTPROJE'DEN SATILIK LALELİ TURİZM ALANI İÇİNDE 450M2 BİNA,7,1,Doğalgaz (Kombi),450.0,85.000.000 TL,
Lüx Ferah Açık Otopark Var Merkeze 5 dk Uzaklıkta Doğalgaz (Kombi) Satılık,6,1,Doğalgaz (Kombi),2.07,11.000.000 TL,
BEŞİKTAŞ'TA YATIRIMCIYA ÖZEL 4 KATLI SATILIK KOMPLE SIFIR BİNA,4,1,Doğalgaz (Kombi),150.0,7.500.000 TL,
BAĞCILAR KİRAZLI METRO YANINDA SATILIK 5 KATLI BİNA,5,1,Doğalgaz (Kombi),550.0,8.350.000 TL,
SARIYER MADEN DE 2 KATLI BİNA CADDE ÜSTÜNDE EV VE İŞYERİ FIRSAT,2,1,Doğalgaz (Kombi),260.0,14.000.000 TL,
BİNKILIÇTA KÖY MERKEZİNDE 3 KATLI KOMPLE BİNA,3,1,Soba,285.0,3.000.000 TL,
Küçük Pazar'da 'Restorasyon Onaylı' Tescilli Tarihi Bina,4,1,Yok,160.0,7.400.000 TL,
TAKSİM'DE MERKEZİ KONUMDA YENİ BİNA,4,1,Klima,200.0,11.000.000 TL,
COLDWELL BANKER THETA KADIKÖY SATILIK KOMPLE BİNA 680 M2,7,5 +,Doğalgaz (Merkezi),680.0,37.750.000 TL,
"FULL DENİZ M, ŞUBAT 23 TE 44 MİLYON EKPERTİZLİ BİNA+2500 M2 ARSA",4,2,Doğalgaz (Kombi),1.6,51.900.000 TL,
ASİA'dan Ankara Caddesine Cephe 2+1 5 Daire 1 Dükkan Satılık,5,2,Doğalgaz (Kombi),115.0,16.500.000 TL,
SUNA TABAKÇI'dan BEYOĞLU İSTİKLAL CADDESİ SATILIK TİCARİ BİNA,8,2,Yok,600.0,90.000.000 TL,
LALELİ SARAÇ İSHAK'TA OTELE UYGUN KOMPLE SATILIK BİNA,9 +,5 +,Doğalgaz (Merkezi),2.0,125.000.000 TL,
Beyoğlu İstiklal Caddesine 4. Bina Komple Satılık Bina,8,1,Klima,460.0,63.000.000 TL,
Aynalıçeşme'de Tarihi Dokuda 3 Katlı Satılık Müstakil Ev,3,1,Doğalgaz (Kombi),180.0,6.000.000 TL,
SÜPER KONUMLU ÇIRAĞAN'DA SAHİLE ÇOK YAKIN BİNA,4,1,Doğalgaz (Kombi),350.0,16.000.000 TL,
GALATAPORT KARŞISI OTEL VEYA İŞYERİNE UYGUN SATILIK BİNA,5,1,Klima,600.0,87.750.000 TL,
ÜMRANİYE IHLAMURKUYU KOMPLE SATILIK 6 KATLI BİNA METROYA YAKIN,6,1,Doğalgaz (Kombi),800.0,14.300.000 TL,
MKA KONUT A.Ş.HOTEL VE REZİDANS BÖLGESİ SATILIK 2600M2 HAN,8,1,Yok,2.6,100.000.000 TL,
İSTANBUL FATİH TE KOMPLE SATILIK YENİ BİNA...,5,1,Doğalgaz (Kombi),90.0,12.000.000 TL,
İstanbul BAĞCILAR BAĞLAR MAH Koçman CADDE ÜZERİ SATILIK BİNA,3,2,Doğalgaz (Kombi),575.0,40.000.000 TL,
ÇOK ACİL AVCILAR YEŞİLKENT MAHALLESİNDE SATILIK 6 DAİRELİK BİNA,7,1,Doğalgaz (Kombi),120.0,4.750.000 TL,
